! This profile dataset was generated at ECMWF by Marco Matricardi, April 2008.
! Details on the profile dataset can be found in:
! Marco Matricardi, 2008, "The generation of RTTOV regression
! coefficients for IASI and AIRS using a new profile training set and a new
! line-by-line database", ECMWF Technical memorandum No. 564.
! http://www.ecmwf.int/publications/library/ecpublications/_pdf/tm/501-600/tm564.pdf
!
!
!
!  ECMWF 83 diverse profiles on 101 levels
!  Profile 81 is an envelope of minimum values
!  Profile 82 is an envelope of maximum values
!  Profile 83 is the mean profile
!  Format:
!  Profile number
!  Year     Month     Day     Latitude     Longitude     Surface Pressure     Land(1)/Sea(0) mask
!  P(hPa)         T(K)           Wv(ppmv)       CO2(ppmv)      O3(ppmv)       N2O(ppmv)      CO(ppmv)       CH4(ppmv)
Profile     1
   2007      2        20        57.00200   -68.80000     977.38452             0.93520
   0.212028E+03   0.227624E+03   0.175109E+03   0.384976E+03   0.752692E-01   0.325410E+00   0.538638E-01   0.178614E+01
   0.223442E+03   0.230187E+03   0.317715E+03   0.384869E+03   0.685536E-01   0.325410E+00   0.538294E-01   0.178529E+01
   0.235234E+03   0.232846E+03   0.513219E+03   0.384877E+03   0.634622E-01   0.325410E+00   0.539300E-01   0.178465E+01
   0.247408E+03   0.235723E+03   0.638537E+03   0.384885E+03   0.621130E-01   0.325410E+00   0.540341E-01   0.178399E+01
   0.259969E+03   0.238691E+03   0.667719E+03   0.384969E+03   0.638110E-01   0.325410E+00   0.542408E-01   0.178457E+01
   0.272919E+03   0.241565E+03   0.702823E+03   0.385060E+03   0.665133E-01   0.325410E+00   0.544620E-01   0.178530E+01
   0.286262E+03   0.244239E+03   0.825139E+03   0.385074E+03   0.683102E-01   0.325410E+00   0.543514E-01   0.178680E+01
   0.300000E+03   0.246714E+03   0.109896E+04   0.385073E+03   0.678962E-01   0.325410E+00   0.541722E-01   0.178852E+01
   0.314137E+03   0.249116E+03   0.144561E+04   0.385016E+03   0.657288E-01   0.325410E+00   0.538544E-01   0.178947E+01
   0.328675E+03   0.251494E+03   0.176671E+04   0.384943E+03   0.628634E-01   0.325410E+00   0.534941E-01   0.179015E+01
   0.343618E+03   0.253833E+03   0.210520E+04   0.384894E+03   0.603466E-01   0.325410E+00   0.532854E-01   0.179013E+01
   0.358966E+03   0.256153E+03   0.246679E+04   0.384851E+03   0.588391E-01   0.325410E+00   0.531151E-01   0.178981E+01
   0.374724E+03   0.258440E+03   0.282706E+04   0.384845E+03   0.583957E-01   0.325410E+00   0.528709E-01   0.178978E+01
   0.390893E+03   0.260654E+03   0.320991E+04   0.384847E+03   0.586160E-01   0.325410E+00   0.526073E-01   0.178984E+01
   0.407474E+03   0.262737E+03   0.365069E+04   0.384875E+03   0.590060E-01   0.325410E+00   0.520527E-01   0.179000E+01
   0.424470E+03   0.264633E+03   0.413444E+04   0.384903E+03   0.593293E-01   0.325410E+00   0.514538E-01   0.179018E+01
   0.441882E+03   0.266238E+03   0.477619E+04   0.384899E+03   0.596047E-01   0.325410E+00   0.506758E-01   0.179060E+01
   0.459712E+03   0.267517E+03   0.564297E+04   0.384852E+03   0.602829E-01   0.325410E+00   0.499553E-01   0.179113E+01
   0.477961E+03   0.268713E+03   0.659235E+04   0.384707E+03   0.614524E-01   0.325410E+00   0.493908E-01   0.179219E+01
   0.496630E+03   0.270291E+03   0.731128E+04   0.384534E+03   0.622408E-01   0.325410E+00   0.491950E-01   0.179361E+01
   0.515720E+03   0.272352E+03   0.767036E+04   0.384338E+03   0.622775E-01   0.325410E+00   0.493040E-01   0.179551E+01
   0.535232E+03   0.274749E+03   0.778960E+04   0.384233E+03   0.620940E-01   0.325410E+00   0.503029E-01   0.179772E+01
   0.555167E+03   0.277286E+03   0.785861E+04   0.384131E+03   0.622792E-01   0.325410E+00   0.515327E-01   0.180009E+01
   0.575525E+03   0.279811E+03   0.803336E+04   0.384020E+03   0.635591E-01   0.325410E+00   0.529981E-01   0.180265E+01
   0.596306E+03   0.282201E+03   0.850173E+04   0.384013E+03   0.659361E-01   0.325410E+00   0.538850E-01   0.180529E+01
