! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.161000E-01    0.193556E+03    0.136746E-05    0.126092E-05
    0.384000E-01    0.208871E+03    0.242004E-05    0.131708E-05
    0.769000E-01    0.229674E+03    0.360223E-05    0.141404E-05
    0.137000E+00    0.247646E+03    0.370750E-05    0.161432E-05
    0.224400E+00    0.255177E+03    0.448228E-05    0.183705E-05
    0.345400E+00    0.260574E+03    0.525600E-05    0.213503E-05
    0.506400E+00    0.263707E+03    0.363650E-05    0.254374E-05
    0.714000E+00    0.259025E+03    0.503207E-05    0.380094E-05
    0.975300E+00    0.252334E+03    0.389191E-05    0.529348E-05
    0.129720E+01    0.243375E+03    0.374246E-05    0.675906E-05
    0.168720E+01    0.232403E+03    0.401479E-05    0.821756E-05
    0.215260E+01    0.221338E+03    0.324580E-05    0.999463E-05
    0.270090E+01    0.213958E+03    0.307707E-05    0.112230E-04
    0.333980E+01    0.208719E+03    0.393451E-05    0.115178E-04
    0.407700E+01    0.204442E+03    0.356732E-05    0.115167E-04
    0.492040E+01    0.201805E+03    0.340845E-05    0.113386E-04
    0.587760E+01    0.200394E+03    0.331942E-05    0.109644E-04
    0.695670E+01    0.200715E+03    0.319570E-05    0.104475E-04
    0.816550E+01    0.202609E+03    0.305824E-05    0.987102E-05
    0.951190E+01    0.205085E+03    0.296891E-05    0.939509E-05
    0.110038E+02    0.206342E+03    0.289198E-05    0.902842E-05
    0.126492E+02    0.206963E+03    0.282120E-05    0.869736E-05
    0.144559E+02    0.206928E+03    0.275292E-05    0.834330E-05
    0.164318E+02    0.206925E+03    0.268013E-05    0.798994E-05
    0.185847E+02    0.206940E+03    0.260583E-05    0.764220E-05
    0.209224E+02    0.207138E+03    0.257592E-05    0.746578E-05
    0.234526E+02    0.207352E+03    0.255207E-05    0.731150E-05
    0.261829E+02    0.207608E+03    0.253466E-05    0.712948E-05
    0.291210E+02    0.207874E+03    0.251751E-05    0.693929E-05
    0.322744E+02    0.208350E+03    0.249701E-05    0.658992E-05
    0.356504E+02    0.208811E+03    0.247718E-05    0.625186E-05
    0.392566E+02    0.208906E+03    0.246996E-05    0.595324E-05
    0.431001E+02    0.208984E+03    0.246343E-05    0.566489E-05
    0.471882E+02    0.209007E+03    0.245930E-05    0.534948E-05
    0.515278E+02    0.209008E+03    0.245626E-05    0.502756E-05
    0.561259E+02    0.209007E+03    0.245523E-05    0.467532E-05
    0.609895E+02    0.209005E+03    0.245825E-05    0.425029E-05
    0.661252E+02    0.209002E+03    0.246118E-05    0.383680E-05
    0.715398E+02    0.209196E+03    0.246331E-05    0.363002E-05
    0.772395E+02    0.209405E+03    0.246531E-05    0.344870E-05
    0.832310E+02    0.209559E+03    0.247054E-05    0.320564E-05
    0.895203E+02    0.209654E+03    0.247936E-05    0.289376E-05
    0.961138E+02    0.209751E+03    0.248789E-05    0.258848E-05
    0.103017E+03    0.210006E+03    0.249311E-05    0.223817E-05
    0.110237E+03    0.210255E+03    0.249820E-05    0.189611E-05
    0.117777E+03    0.210465E+03    0.249921E-05    0.162858E-05
    0.125646E+03    0.210644E+03    0.249721E-05    0.141743E-05
    0.133846E+03    0.210799E+03    0.249613E-05    0.122212E-05
    0.142385E+03    0.210804E+03    0.250172E-05    0.111543E-05
    0.151266E+03    0.210809E+03    0.250719E-05    0.101103E-05
    0.160496E+03    0.210881E+03    0.258962E-05    0.890995E-06
    0.170078E+03    0.210986E+03    0.270817E-05    0.764694E-06
    0.180018E+03    0.211108E+03    0.289712E-05    0.637669E-06
    0.190320E+03    0.211290E+03    0.332253E-05    0.502277E-06
    0.200989E+03    0.211468E+03    0.373947E-05    0.369582E-06
    0.212028E+03    0.211588E+03    0.464242E-05    0.276860E-06
    0.223441E+03    0.211694E+03    0.564393E-05    0.194706E-06
    0.235234E+03    0.211835E+03    0.699347E-05    0.135385E-06
    0.247408E+03    0.212029E+03    0.884745E-05    0.107865E-06
    0.259969E+03    0.212229E+03    0.106786E-04    0.815954E-07
    0.272919E+03    0.212772E+03    0.128809E-04    0.815310E-07
    0.286262E+03    0.213305E+03    0.150433E-04    0.814677E-07
    0.300000E+03    0.214164E+03    0.167773E-04    0.844676E-07
    0.314137E+03    0.215172E+03    0.182894E-04    0.889164E-07
    0.328675E+03    0.216243E+03    0.196989E-04    0.941577E-07
    0.343618E+03    0.217453E+03    0.209331E-04    0.101031E-06
    0.358966E+03    0.218645E+03    0.221682E-04    0.107770E-06
    0.374724E+03    0.219922E+03    0.241569E-04    0.113831E-06
    0.390892E+03    0.221176E+03    0.261123E-04    0.119790E-06
    0.407474E+03    0.222549E+03    0.291029E-04    0.123735E-06
    0.424470E+03    0.223944E+03    0.323854E-04    0.127004E-06
    0.441882E+03    0.225383E+03    0.365091E-04    0.128771E-06
    0.459712E+03    0.226857E+03    0.413587E-04    0.129227E-06
    0.477961E+03    0.228319E+03    0.465669E-04    0.129164E-06
    0.496630E+03    0.229776E+03    0.524929E-04    0.128166E-06
    0.515720E+03    0.231190E+03    0.580743E-04    0.126852E-06
    0.535232E+03    0.232509E+03    0.627402E-04    0.124474E-06
    0.555167E+03    0.233793E+03    0.673697E-04    0.122007E-06
    0.575525E+03    0.234988E+03    0.720881E-04    0.119003E-06
    0.596306E+03    0.236156E+03    0.761456E-04    0.116064E-06
    0.617511E+03    0.237274E+03    0.777831E-04    0.113242E-06
    0.639140E+03    0.238369E+03    0.791153E-04    0.110641E-06
    0.661192E+03    0.239433E+03    0.797738E-04    0.108495E-06
